Bird,Freq,Contrast,Mean_ax_diff,Mean_RE_diff
5511,0.2,16,0.266022538,1.808921478
5512,0.2,16,0.393127105,-0.631542927
5524,0.2,16,0.366284176,0.507482689
5542,0.2,16,0.173692274,0.811159777
5561,0.2,16,0.367422384,0.252709111
5563,0.2,16,0.413398231,-1.664097106
5567,0.2,16,0.356621055,-2.187835293
5570,0.2,16,0.335388119,-0.03782692
5577,0.2,16,0.354734264,-2.303309779
5666,0.2,16,0.336672263,0.32020971
5668,0.2,16,0.425059679,-1.93808582
5669,0.2,16,0.387148022,-0.294701627
5678,0.2,16,0.363914296,-1.182305695
5680,0.2,16,0.39216268,0.720750598
5877,0.2,16,0.26379243,2.202757762
5882,0.2,16,0.215026983,0.147893544
5504,0.2,32,0.281642459,-0.930286361
5508,0.2,32,0.423872371,0.10891412
5513,0.2,32,0.435266748,-0.55450132
5547,0.2,32,0.236768095,-0.289139957
5557,0.2,32,0.399125824,1.282791539
5558,0.2,32,0.339734311,-1.798344326
5566,0.2,32,0.402582767,-2.176485272
5574,0.2,32,0.317451002,-0.874848018
5576,0.2,32,0.282830336,-0.490556964
5674,0.2,32,0.375433627,-1.844879336
5679,0.2,32,0.290536129,-0.965466863
5684,0.2,32,0.409560274,0.574180821
5687,0.2,32,0.296914851,0.817474424
5689,0.2,32,0.464865419,0.088399234
5879,0.2,32,0.44005067,1.256630468
5881,0.2,32,0.446486916,-1.175484653
5889,0.2,32,0.183908222,-0.491037853
5519,0.2,60,0.295352997,-0.609911618
5526,0.2,60,0.395549204,-0.731472199
5522,0.2,60,0.326704605,-2.520091728
5509,0.2,60,0.369927898,-1.863916077
5560,0.2,60,0.369813625,0.728870831
5562,0.2,60,0.275510737,1.462086528
5568,0.2,60,0.352706619,-0.957894738
5572,0.2,60,0.298547811,-0.119747268
5665,0.2,60,0.369813625,0.251698453
5677,0.2,60,0.275510737,-0.926846083
5681,0.2,60,0.352706619,1.140062494
5685,0.2,60,0.298547811,2.089781105
5944,0.2,80,0.401770908,-0.367821152
5945,0.2,80,0.283202811,-0.218074429
5946,0.2,80,0.285825491,1.120566066
5947,0.2,80,0.279151294,0.070817099
5950,0.2,80,0.203584207,-3.807668737
5953,0.2,80,0.52963192,3.114075657
5955,0.2,80,0.295444703,-0.130675931
5956,0.2,80,0.339107718,0.909941312
5957,0.2,80,0.190052155,3.822584598
5958,0.2,80,0.264401543,0.210505878
5960,0.2,80,0.402774666,0.17373507
5535,10,16,0.304310368,-2.174815858
5541,10,16,0.329512122,2.435609262
5549,10,16,0.241006621,0.031246985
5594,10,16,0.363739392,0.327362437
5601,10,16,0.418496022,-0.765114166
5611,10,16,0.282960089,-0.489084342
5616,10,16,0.264348121,-0.415499217
5630,10,16,0.37595406,-1.29521929
5644,10,16,0.392714172,-2.007007901
5646,10,16,0.220870215,-3.67565528
5660,10,16,0.357935431,-0.369682561
5664,10,16,0.283870547,-1.766444208
5534,10,32,0.271416001,-2.621903812
5538,10,32,0.248143024,-3.133020185
5540,10,32,0.321917885,0.969578503
5546,10,32,0.360153718,-1.795151509
5550,10,32,0.285064981,-0.906567574
5583,10,32,0.308682341,-4.187843178
5584,10,32,0.306984701,-1.351337484
5585,10,32,0.373666157,-1.427337976
5588,10,32,0.341410226,-0.049224853
5619,10,32,0.363356575,-1.758271926
5628,10,32,0.351285369,-1.063888669
5638,10,32,0.349908988,-0.192580378
5640,10,32,0.279303456,-4.082535735
5649,10,32,0.297313897,-1.262908688
5650,10,32,0.255239973,-0.919422985
5537,10,60,0.223368943,-1.545768194
5539,10,60,0.283321789,-1.671206863
5548,10,60,0.221995973,0.612520413
5551,10,60,0.232557763,0.591212804
5592,10,60,0.314890621,-0.136209084
5599,10,60,0.306683212,0.233139191
5603,10,60,0.325696381,-0.491278104
5604,10,60,0.372903621,2.527415787
5612,10,60,0.269462625,-2.51192896
5637,10,60,0.120964142,-0.30813635
5655,10,60,0.332171522,1.194492319
5658,10,60,0.31923876,2.411099677
5661,10,60,0.402177084,-0.203661205
5663,10,60,0.199363442,0.244894972
5907,10,80,0.274940366,-0.681848177
5911,10,80,0.185685186,-2.881136961
5914,10,80,0.242324684,-0.517601608
5915,10,80,0.136820988,-0.375134855
5918,10,80,0.160492375,-0.231765686
5923,10,80,0.171199173,0.14053278
5927,10,80,0.148120212,-1.402714349
5931,10,80,0.212548716,0.329900043
5935,10,80,0.205591427,-0.929975304
5942,10,80,0.152700963,-3.149391796
5886,10,80,-0.175302089,0.088338396
